scientific_name,Bryce National Park,Great Smoky Mountains National Park,Yellowstone National Park,Yosemite National Park
Abies bifolia,109,72,215,136
Abies concolor,83,101,241,205
Abies fraseri,109,81,218,110
Abietinella abietina,101,65,243,183
Abronia ammophila,92,72,222,137
Abutilon theophrasti,84,85,262,138
Acalypha gracilens,68,98,263,160
Acalypha ostryifolia,95,112,243,150
Acalypha rhomboidea,90,96,245,144
Acalypha virginica,108,80,229,143
Acanthus flammea,95,68,241,120
Accipiter cooperii,95,65,245,138
Accipiter gentilis,109,78,232,163
Accipiter striatus,62,69,200,115
Acer glabrum,30,123,247,124
Acer glabrum var. torreyi,84,75,282,160
Acer leucoderme,125,107,256,140
Acer macrophyllum,105,33,252,134
Acer negundo,92,72,257,179
Acer negundo var. violaceum,91,84,222,164
Acer nigrum,110,86,258,156
Acer pensylvanicum,91,96,284,134
Acer platanoides,83,53,243,189
Acer rubrum var. rubrum,114,67,274,147
Acer rubrum var. trilobum,99,105,251,110
Acer saccharinum,121,86,229,167
Acer saccharum,124,59,236,116
Acer spicatum,89,82,263,143
Achillea millefolium,99,45,270,168
Achillea millefolium var. occidentalis,119,87,277,131
Achnatherum X bloomeri,91,82,261,155
Achnatherum contractum,122,43,219,165
Achnatherum hymenoides,90,88,233,156
Achnatherum latiglume,92,76,233,137
Achnatherum lemmonii,87,100,245,149
Achnatherum lettermanii,63,60,252,129
Achnatherum nelsonii ssp. dorei,101,63,221,151
Achnatherum nevadense,74,36,272,149
Achnatherum occidentale,106,73,258,171
Achnatherum occidentale ssp. californicum,77,93,235,174
Achnatherum occidentale ssp. occidentale,122,68,233,148
Achnatherum occidentale ssp. pubescens,58,57,202,148
Achnatherum pinetorum,101,75,288,129
Achnatherum richardsonii,76,96,255,143
Achnatherum thurberianum,71,73,251,148
Aconitum columbianum,63,77,242,136
Aconitum columbianum ssp. columbianum,112,91,242,162
Aconitum uncinatum,115,77,248,142
Acorus calamus,121,63,232,178
Acris crepitans crepitans,112,59,228,132
Acrobolbus ciliatus,114,77,233,131
Actaea pachypoda,92,78,225,112
Actaea rubra,141,77,219,151
Actitis macularia,91,66,265,156
Actitis macularius,86,87,290,181
Adenocaulon bicolor,123,97,210,130
Adenostoma fasciculatum,128,57,245,148
Adiantum aleuticum,114,112,231,152
Adiantum jordanii,93,62,249,155
Adiantum pedatum,94,110,241,127
Adlumia fungosa,69,53,246,144
Adoxa moschatellina,121,86,250,155
Aechmophorus clarkii,99,68,244,166
Aechmophorus occidentalis,80,64,233,132
Aegilops cylindrica,76,66,245,149
Aegolius,95,42,263,191
Aegolius acadicus,131,86,234,91
Aegolius funereus,73,82,260,167
Aegopodium podagraria,112,52,249,198
Aeronautes saxatalis,95,77,264,178
Aesculus californica,108,89,246,128
Aesculus flava,117,73,212,119
Aesculus glabra,76,94,247,163
Aesculus pavia,133,49,199,164
Aesculus sylvatica,100,69,263,157
Agalinis purpurea,91,71,263,176
Agalinis setacea,116,82,202,190
Agalinis tenuifolia,73,59,257,145
Agastache nepetoides,106,76,237,144
Agastache scrophulariifolia,116,55,232,133
Agastache urticifolia,95,57,236,144
